Title,Keywords
하얼빈,"갈등, 감동, 구상, 그늘, 글쓰기, 기록, 김훈, 깊이, 내면, 노래, 대의, 대표작, 명장, 묘사, 방식, 살인, 상상, 상징, 서사, 세상, 소개, 소설, 소설가, 순수, 시간, 시대, 시선, 시절, 신작, 실존, 안중근, 에너지, 여름, 역사, 열정, 영웅, 운명, 윤리, 이순신, 이토, 이해, 인간, 인물, 인생, 일생, 자연, 작가, 작품, 장편소설, 집중, 집필, 차원, 청년, 최고, 출간, 칼의, 하얼빈, 현재, 혼란, 활동"
파친코 1,"가족, 가치, 감동, 감성, 개국, 계약, 고향, 구성, 구조, 기념, 노력, 뉴욕타임스, 대중, 대통령, 도서, 독자, 디자인, 때문, 매력, 문장, 문체, 미국, 번역, 베스트셀러, 선정, 세계, 세대, 세월, 속도감, 수출, 아마존, 앞으로, 역사, 올해, 원문, 의도, 의미, 이름, 이민진, 이상, 이야기, 작가, 작품, 장편소설, 재미, 전달, 주인공, 지적, 집필, 찬사, 처음, 최종, 출간, 충실, 특유, 파친코, 판권, 한국, 한국인, 현재, 화제작, 회복, 후보, 흐름"
파친코 2,"가족, 가치, 감동, 감성, 개국, 계약, 고향, 구성, 구조, 기념, 노력, 뉴욕타임스, 대중, 대통령, 도서, 독자, 디자인, 때문, 매력, 문장, 문체, 미국, 번역, 베스트셀러, 선정, 세계, 세대, 세월, 속도감, 수출, 아마존, 앞으로, 역사, 올해, 원문, 의도, 의미, 이름, 이민진, 이상, 이야기, 작가, 작품, 장편소설, 재미, 전달, 주인공, 지적, 집필, 찬사, 처음, 최종, 출간, 충실, 특유, 파친코, 판권, 한국, 한국인, 현재, 화제작, 회복, 후보, 흐름"
작별인사,"2월, 3월, 가치, 감정, 거리, 겨울, 고통, 구상, 그동안, 기승, 기운, 기원, 김영하, 뉴욕, 느낌, 다음, 도래, 독자, 동시, 런던, 마력, 마음, 마지막, 문학, 미래, 바이러스, 발표, 배경, 배제, 보니, 사회, 상황, 생각, 선언, 세계, 소년, 소설, 속도감, 송두리, 수정, 순간, 시작, 시체, 신체, 아버지, 약속, 여름, 여정, 연결, 오랫동안, 우정, 원고, 위기, 이야기, 이후, 인간, 인사, 있다, 자신, 작가, 작별, 장편소설, 전면, 전자책, 정식, 정신, 제국, 존재, 주제, 지금, 직면, 진행, 질문, 집필, 처음, 출간, 코로나, 탄생, 탈출, 파리, 평화, 혼자"
고래,"감옥, 감정, 공간, 공장, 과장, 과정, 구성, 내면, 독자, 묘사, 문학동네, 배경, 배제, 복의, 사이에서, 살인, 생존, 설화, 성찬, 세계, 세상, 소녀, 소설, 속도, 수상자, 시도, 신화, 연상, 오랜만, 욕망, 이야기, 인간, 인물, 일대기, 자신, 작가, 작품, 장편소설, 재단, 죽음, 중심, 천명관, 파괴, 폐허, 폭력, 해학"
풍수전쟁,"감정, 고난, 공부, 과거, 과학, 국가, 군가, 근무, 김진명, 나라, 단서, 대신, 대통령, 대학, 대한민국, 등장, 마지막, 메시지, 모두, 몰두, 문제, 미래, 방식, 불편, 사건, 사람, 세상, 소설, 신작, 여정, 역사, 예상, 예언, 용서, 윤곽, 은하수, 의문, 의미, 인구, 일본, 작가, 저주, 전달, 전쟁, 정체, 제시, 존재, 주제, 직면, 진실, 추적, 출간, 충격, 한국, 해결, 호수"
작별하지 않는다,"2016년, 가슴, 겨울, 과정, 구상, 기억, 동안, 마지막, 모습, 문장, 문학, 문학동네, 부작, 비극, 사랑, 생각, 수상작, 신작, 압도, 어둠, 역사, 연작, 연재, 온다, 완결, 완성, 의미, 이야기, 인간, 인터내셔널, 작가, 작별, 작품, 장편소설, 집필, 채식주의자, 최종, 출간, 하지, 한강, 현재, 형태, 후보"
모순,"가난, 가족, 고민, 도서, 모순, 문장, 베스트셀러, 불행, 사랑, 상태, 소설, 소장, 시작, 시장, 아버지, 양장본, 어머니, 여성, 이모, 이해, 이후, 인물, 인생, 작가, 작품, 진진, 초판, 출간, 탐구, 특유, 표지"
세계를 건너 너에게 갈게,"감동, 거리, 결말, 공감, 그럼에도, 기원, 기적, 꽃님, 너에게, 눈물, 대만, 독자, 동안, 드라마, 마지막, 문장, 발견, 부모, 불구하고, 사람, 사이, 서로, 서사, 세계, 수출, 시간, 시공간, 시작, 심사, 아빠, 압도, 은유, 이름, 이야기, 이해, 일본, 일상, 자녀, 자신, 자와, 작가, 작품, 장편소설, 제작, 존재, 진실, 진심, 청소년, 초월, 추천, 친구, 태국, 판권, 편지, 형식"
도시와 그 불확실한 벽,"가시, 가운데, 간의, 결정, 공식, 구성, 나라, 남은, 데뷔, 도시, 독자, 마음, 무라카미, 미스터리, 발표, 사람, 사랑, 사실, 사이, 사이에서, 상상력, 생각, 세계, 세상, 소설, 시작, 시절, 신작, 완성, 유일, 의미, 이야기, 이후, 인간, 일본, 작가, 작품, 장편소설, 존재, 집필, 처음, 청년, 출간, 출판, 코로나, 포함, 하루키, 형태, 후기"
데미안,"가명, 갈망, 강조, 걸작, 고독, 과정, 내면, 노벨, 대결, 대전, 데미안, 독일, 마음, 목사, 문학, 문학상, 발표, 불안, 사고, 사랑, 사이에서, 성장, 세계, 세대, 소년, 소설, 수상, 싱클레어, 에밀, 영혼, 의미, 의식, 이야기, 인간, 자신, 작가, 작품, 전쟁, 지금, 직후, 청년, 청춘, 추구, 출발, 평생, 평화, 헤르만, 헤세, 현실, 회고"
"어서 오세요, 휴남동 서점입니다","감정, 거리, 건강, 고등학생, 공간, 관계, 남동, 내면, 느낌, 단골손님, 대표, 대화, 독자, 동네, 베스트셀러, 보니, 사람, 사실, 사연, 사이, 상처, 서울, 서점, 소설, 소설가, 손님, 수상작, 순간, 심사, 얼굴, 엄마, 연대, 영주, 요청, 우정, 이야기, 자신, 작가, 전자책, 종이, 주인, 찬사, 처음, 출간, 출판, 필요, 하루하루, 희망"
죽이고 싶은 아이,"결말, 관계, 그날, 꽃님, 내면, 너에게, 눈앞, 대로, 독자, 믿음, 반전, 발견, 방식, 불안, 사람, 선사, 세계, 세상, 소설, 시체, 신작, 싶은, 아이, 야만, 여고생, 예측, 용의자, 이야기, 인물, 인터뷰, 작가, 작품, 전개, 조각, 주변, 주연, 주인공, 죽음, 죽이고, 진실, 체포, 친구, 편집, 학교, 혼란, 흡인력"
아침 그리고 저녁,"2003년, 21세기, 가치, 감정, 강조, 결합, 고민, 공간, 구성, 국제, 극작가, 기쁨, 노르웨이, 노벨, 다음, 대상, 데뷔, 동시, 동안, 로우, 면모, 목소리, 목표, 무대, 문제, 문체, 문학, 문학상, 미니, 발표, 배제, 번역, 보편, 부작, 부조리, 불안, 블랙, 비판, 사람, 사이, 사이에서, 산문, 상황, 생각, 생존, 선언, 선정, 성찰, 세계, 소설, 소식, 수상, 스웨덴, 시적, 실상, 실험, 아침, 언어, 연극, 연작, 영국, 예술, 위원회, 유럽, 음악, 의미, 이름, 이상, 이중, 이후, 인간, 인터뷰, 일상, 작가, 작품, 장편소설, 저녁, 전화, 존재, 죽음, 지역, 직후, 집중, 찬사, 천재, 최고, 출간, 침묵, 특유, 편의, 평가, 포세, 표현, 프랑스, 현대, 현재, 형식, 활동, 희곡"
체리새우: 비밀글입니다,"가족, 경험, 공간, 공감, 공개, 관계, 교실, 너에게, 대상, 모두, 목소리, 문학동네, 문학상, 비밀, 사람, 사랑, 새우, 생각, 세계, 소설, 수상작, 순간, 스스로, 시선, 심사, 여정, 유지, 이야기, 자신, 작가, 작품, 청소년, 체리, 친구, 풍경, 피로, 학교, 화자"
이토록 평범한 미래,"결심, 경이, 경험, 계기, 과거, 과정, 그때, 글쓰기, 김연수, 노동, 다음, 단편, 단편소설, 동시, 두려움, 뜻밖, 마음, 메리, 몰두, 문장, 미래, 바다, 바이러스, 변화, 사랑, 상상, 상황, 생각, 서로, 선택, 세상, 소설, 소설집, 수록, 시간, 시작, 시점, 신작, 실험, 아이, 어둠, 언어, 여름, 여행, 역사, 예언, 오랫동안, 요구, 의심, 이번, 이야기, 이해, 이후, 인물, 인식, 인터뷰, 있다, 자리, 자신, 작가, 작품, 전달, 정의, 지구, 직전, 집중, 출간, 충실, 침묵, 코로나, 편의, 표현, 현재, 형태"
달러구트 꿈 백화점,"가슴, 기록, 달러, 독자, 동물, 등장, 마을, 백화점, 베스트셀러, 베일, 비밀, 사고, 사람, 소설, 손님, 요청, 인기, 입장, 전자책, 존재, 종이, 직원, 질문, 출간, 판매, 판타지, 페니"
인간 실격,"갈망, 과정, 기록, 나이, 대표, 대표작, 문학, 배반, 사회, 소설, 순수, 시도, 시선, 인간, 일본, 작가, 작품, 저자, 조명, 주인공, 청춘, 파장, 현대"
2023 제14회 젊은작가상 수상작품집,"기록, 기와, 단편소설, 대상, 데뷔, 데뷔작, 독자, 멜라, 모험, 문학, 사회, 상상력, 선사, 소개, 수상, 수상자, 수상작, 스스로, 시선, 심사, 얼굴, 여정, 올해, 운영, 이름, 이야기, 인물, 자리, 자신, 작가, 징후, 처음, 편의, 풍경"
사랑의 이해,"2016년, 가치, 감정, 경찰, 곳곳, 공간, 관계, 남녀, 능력, 동시, 마음, 바탕, 배경, 변화, 보통, 보편, 사내, 사랑, 사실, 사이, 상수, 상징, 선택, 소설, 수상, 수영, 스스로, 시대, 신작, 압도, 연애, 연애담, 영역, 은행, 이면, 이별, 이해, 인생, 자리, 자신, 작가, 작품, 장편소설, 존재, 진행, 침묵, 한겨레문학상, 한편, 현대인, 회사"
블랙 쇼맨과 환상의 여자,"가미, 게이, 결말, 결혼, 고객, 고민, 고의, 공간, 공개, 기회, 남녀, 단편, 도쿄, 독자, 등장, 마을, 마음, 마지막, 만큼, 맨션, 미스터리, 부위, 분위기, 블랙, 사건, 사연, 살인, 상대, 세계, 소설집, 속도감, 손님, 순간, 시리즈, 얼굴, 여성, 여자, 예측, 운영, 위기, 위치, 유산, 의뢰, 이름, 이번, 인물, 인생, 작가, 재미, 제안, 진실, 최초, 추리, 코로나, 트랩, 하루, 한국, 해결, 핸드, 환상"
"오늘 밤, 세계에서 이 눈물이 사라진다 해도","가미, 가슴, 감독, 개봉, 기록, 기억, 기억상실, 남자, 눈물, 도루, 독자, 리뷰, 리코, 마음, 반전, 베스트셀러, 사랑, 사이, 상대, 생각, 선행, 세계, 소설, 스핀, 슬픔, 시작, 시점, 신화, 영상, 영화, 오늘, 위치, 이번, 이상, 이야기, 일본, 자신, 절대, 정의, 제작, 주연, 주인공, 중국, 찬사, 처음, 청춘, 최고, 출간, 친구, 판권, 판매, 편의, 폭발, 표현, 한국, 해도, 핵심, 히노"
황금종이 1,"가게, 가정, 간직, 갈등, 결심, 고등학교, 고민, 노인, 대기업, 대학, 대한민국, 독자, 동창, 모습, 목숨, 문제, 미래, 부부, 부작, 부조리, 불편, 비극, 사건, 사람, 사회, 생각, 생존, 생활, 세상, 소개, 소설, 소설가, 수단, 시간, 시대, 신작, 실존, 아르바이트, 아이, 역작, 영혼, 오늘, 요구, 욕망, 운동, 운영, 위협, 이자, 인간, 인물, 자신, 자유, 작가, 작품, 장편소설, 절망, 정신, 정의, 정치, 제안, 종이, 주변, 중년, 직면, 질문, 추구, 출간, 충격, 친구, 친척, 편의점, 평생, 한강, 한국, 한지, 할머니, 해결, 핵심, 황금"
가재가 노래하는 곳,"감성, 과학, 관계, 나이, 남부, 노래, 마을, 매력, 묘사, 문명, 미국, 반전, 발견, 배경, 본성, 사건, 사람, 살인, 상상, 생명, 성적, 세계, 소녀, 소설, 스스로, 습지, 시의, 시체, 실상, 아이, 아침, 여성, 여자, 연구, 예상, 오랫동안, 완벽, 유지, 의심, 이야기, 이해, 인간, 인기, 인물, 인종, 자연, 작품, 재능, 재미, 저자, 주민, 증명, 진화, 청년, 체이스, 카야, 평생, 환경"
달러구트 꿈 백화점 2,"감정, 관리, 구매, 단골손님, 달러, 독자, 마음, 매장, 민원, 백화점, 불만, 사람, 설상가상, 에디션, 이야기, 지도, 페니, 하지"
구의 증명,"가치, 감성, 감수성, 과정, 군가, 남녀, 대상, 도서, 독자, 만큼, 문장, 문체, 사랑, 삶의, 상실, 소설, 속도감, 스타일, 시간, 시리즈, 연인, 열정, 은행나무, 의미, 이야기, 이후, 작품, 저자, 전면, 죽음, 증명, 출판, 형식"
싯다르타,"가정, 기쁨, 내면, 다와, 데미안, 동서양, 바라, 불만, 사람, 사랑, 사문, 생활, 성장, 소설, 수레바퀴, 스스로, 승화, 시작, 시적, 싯다르타, 아래, 원천, 유산, 일종, 정신, 존재, 종교, 주인공, 친구, 친숙, 헤르만, 헤세"
밝은 밤,"2016년, 겨울, 계획, 공감, 과정, 국문학, 기록, 도착, 독자, 동안, 등단, 마음속, 머릿속, 문장, 문학, 문학동네, 미래, 미소, 바람, 사람, 사랑, 서로, 세계로, 소설, 소설가, 소설집, 쇼코, 슬픔, 시간, 시작, 엄마, 여성, 연쇄, 연재, 영주, 예스, 예정, 옛날, 오랫동안, 올해, 은영, 이야기, 이후, 인물, 인터뷰, 자리, 자연, 작가, 작품, 장편소설, 조명, 존재, 증조모, 질문, 초대, 출간, 출발, 한국, 한지, 할머니, 활동"
홈 스위트 홈(제46회 이상문학상 작품집 2023년),"가가, 결심, 결혼, 계절, 고통, 과거, 구성, 구효서, 국내, 군가, 기억, 기와집, 남녀, 다음, 단편소설, 대상, 대신, 대표작, 대화, 동안, 때문, 마당, 모두, 미래, 바다, 발표, 병원, 사람, 사회, 상황, 생각, 생활, 선정, 선택, 세상, 소설, 소설가, 수록, 수상, 수상작, 시간, 시작, 심사, 어진, 엄마, 연인, 완결, 완성, 우물, 우수작, 위기, 위원회, 유진, 의사, 이별, 이상문학상, 이후, 일상, 작가, 작품, 작품집, 재난, 주변, 주인공, 줄거리, 중년, 직면, 직장, 징후, 최초, 치료, 코로나, 파편, 폭발, 현재, 환경"
난장이가 쏘아올린 작은 공,"광장, 난장, 대표작, 도시, 모습, 문학, 바탕, 불행, 사람, 사이, 사회, 상징, 세계관, 소설, 시대, 연작, 이후, 자와, 자유, 작품, 저자, 초판, 판화, 표지, 한국"
1984,"개인, 과거, 국가, 국내, 기술, 냉소, 노출, 당시, 대표, 미래, 발달, 사회, 세계, 소설, 수단, 시스템, 언어, 역사, 오웰, 인간, 자녀, 자유, 작품, 전쟁, 전체주의, 정보, 정신, 조지, 지배, 풍자, 현재"
기억 전달자,"가족, 감정, 경험, 과거, 교육, 글로브, 기념식, 기억, 느낌, 대표, 로리, 로이스, 모두, 문학, 미국, 베리, 보스턴, 보유자, 사람, 사랑, 사회, 선임, 성장, 소년, 수상작, 시작, 아너, 위원회, 유일, 이야기, 작가, 장편소설, 전달자, 정해, 직위, 청소년, 평화, 형태, 효율, 훈련, 희생"
황금종이 2,"가게, 가정, 간직, 갈등, 결심, 고등학교, 고민, 노인, 대기업, 대학, 대한민국, 독자, 동창, 모습, 목숨, 문제, 미래, 부부, 부작, 부조리, 불편, 비극, 사건, 사람, 사회, 생각, 생존, 생활, 세상, 소개, 소설, 소설가, 수단, 시간, 시대, 신작, 실존, 아르바이트, 아이, 역작, 영혼, 오늘, 요구, 욕망, 운동, 운영, 위협, 이자, 인간, 인물, 자신, 자유, 작가, 작품, 장편소설, 절망, 정신, 정의, 정치, 제안, 종이, 주변, 중년, 직면, 질문, 추구, 출간, 충격, 친구, 친척, 편의점, 평생, 한강, 한국, 한지, 할머니, 해결, 핵심, 황금"
동물농장,"20세기, 강도, 거절, 결정, 고민, 공동체, 국민, 나이, 농장, 대전, 동물, 동안, 등장, 등장인물, 모두, 모순, 모습, 문학, 미국, 베스트셀러, 분위기, 비판, 사건, 사망, 사실, 사회, 상징, 생활, 세계, 소련, 소설, 스탈린, 시대, 역사, 역할, 연결, 연합군, 영국, 오웰, 우화, 이상, 이야기, 이후, 인간, 인류, 작가, 작품, 재현, 전시, 전투, 정치, 조지, 주인, 지금, 처음, 초판, 출간, 출판, 판매량, 풍자, 현실, 형식, 황제"
심판,"검사, 결정, 구성, 남편, 노력, 다음, 도착, 배경, 법정, 베르, 변호사, 사망, 사실, 사형, 상상력, 생각, 소설, 수술, 시도, 시민, 시작, 심판, 아나톨, 유머, 이자, 이후, 인간, 자신, 작품, 저자, 절차, 주인공, 지도, 진행, 천국, 카롤리, 특유, 판사, 피고인, 학생, 희곡"
순례 주택,"가족, 계획, 고등학생, 군가, 노력, 느낌, 도서, 독자, 리스트, 마음, 메시지, 바탕, 사람, 사이에서, 서로, 설정, 세계로, 세상, 셰익스피어, 소동, 소설, 수림, 수상, 순간, 순례, 시대, 시작, 신작, 아빠, 어른, 어린이, 언니, 엄마, 온실, 이야기, 작가, 주택, 진실, 청소년, 초대, 추구, 캐릭터, 페인트, 표지, 한국, 한여름, 행복, 혼란, 훈련, 희곡"
돌연한 출발,"20세기, 구원, 단편, 도끼, 드로잉, 리뷰, 명작, 문학, 바다, 번역, 사인, 세계, 수록, 역자, 영애, 오마주, 원고, 이방인, 재앙, 징후, 초조, 출구, 친필, 카프카, 편지, 편집자, 프란츠, 화보"
오백 년째 열다섯(10만부 기념 교보문고 단독 리커버),"구슬, 독보, 매력, 문학, 사랑, 세계, 세계관, 세대, 스토리, 시리즈, 시작, 신작, 신화, 아이, 여자, 옛이야기, 오늘, 위즈, 인간, 인연, 일러스트, 작가, 장편소설, 전쟁, 참여, 청소년, 최초, 출간, 캐릭터, 탄생, 판타지, 편지, 하우스, 한국, 호랑, 호족"
스토너,"20세기, 가정, 가족, 감동, 개인, 걸작, 결혼, 고향, 공감, 교수, 근원, 기준, 남자, 대신, 대전, 대학, 독자, 동료, 마음, 마지막, 모습, 묘사, 문학, 미국, 발표, 베스트셀러, 불행, 사랑, 세계, 세상, 셰익스피어, 수업, 순간, 시간, 아들, 언가, 여인, 연구, 윌리엄, 유럽, 이야기, 인생, 일생, 자신, 작가, 작품, 저자, 주인공, 증명, 진실, 출판, 특유, 평론가, 혼자"
연금술사,"개국, 고전, 공부, 과정, 기대, 기록, 대면, 도둑, 마음, 메시지, 목소리, 부모, 사막, 산티아고, 세계, 신부, 언어, 여인, 여정, 연금술사, 연인, 영혼, 위협, 이후, 인생, 자신, 작품, 절대, 죽음, 청년, 출간, 침묵, 코엘료, 통찰, 파울로, 판매량, 표지, 현대, 희망"
회색 인간,"가운데, 게시판, 공장, 공포, 그동안, 노동, 농담, 대응, 동안, 매력, 머릿속, 방향, 상황, 소설, 소설집, 예상, 오늘, 유머, 이야기, 인간, 작가, 작품, 전개, 출간, 탄생, 한참, 행태, 호응"
화이트 러시,"게이, 고의, 긴장감, 독자, 동안, 디어, 러시, 마지막, 무기, 미스터리, 반전, 범인, 베스트셀러, 사건, 사랑, 생각, 설산, 속도, 속도감, 스키장, 스토리, 시대, 시리즈, 시작, 연애, 열정, 예측, 이름, 이자, 인기, 작가, 작품, 전개, 주연, 지도, 진수, 체이스, 최고, 출간, 페이지, 폭발, 화이트, 화제"
마당이 있는 집,"가운데, 가정, 가족, 각자, 결혼, 과정, 구멍, 기회, 남편, 냄새, 대로, 데뷔작, 마당, 머릿속, 불행, 비밀, 사람, 사실, 살인자, 서로, 수채화, 시작, 아내, 아들, 어머니, 여자, 예상, 완벽, 의사, 의심, 이혼, 일상, 작품, 주란, 주부, 추적, 탈출, 행복, 혐오, 혼란, 후회"
지구 끝의 온실,"구매, 구성, 국문학, 단편소설, 도서, 독자, 동안, 매장, 모두, 무대, 문장, 반년, 발표, 북스, 사랑, 상상력, 세계, 소설, 수정, 시간, 시리즈, 에디션, 여름, 연재, 온실, 우주, 이번, 이야기, 이후, 인간, 자유, 자이언트, 작가, 작품, 장편소설, 주인공, 지구, 초엽, 출간, 탄생"
이방인,"20세기, 감동, 걸작, 경험, 고전, 관습, 교수, 낯선, 대전, 대표, 독자, 문단, 문학, 발표, 번역, 베스트셀러, 부조리, 사이에서, 세계, 소설, 소외, 수정, 신화, 실존, 알베르, 언어, 영웅, 오늘, 원고, 원문, 이방인, 이자, 이후, 인물, 작가, 작품, 전집, 정신, 제시, 죽음, 진실, 처음, 체험, 최고, 출간, 카뮈, 프랑스, 한순간, 현대, 현대인, 현실, 형식"
"어느 날, 내 죽음에 네가 들어왔다","2월, 과거, 구조, 남자, 대가, 대상, 독자, 명작, 사람, 사랑, 사신, 삶의, 생각, 선사, 선택, 소녀, 소문, 소설, 수명, 수상작, 순간, 스스로, 시간, 시도, 시작, 아이, 여운, 연애, 의미, 이야기, 이자, 인기, 인생, 인터넷, 자살, 작가, 작품, 재미, 죽음, 중심, 처음, 초월, 출간, 페이지, 포기, 현재, 화제, 희망"
종의 기원,"가족, 감시, 계단, 과정, 기원, 내면, 대가, 대신, 독자, 동안, 마음, 며칠, 모습, 사고, 사랑, 살인자, 살해, 상태, 생활, 서사, 선수, 세계, 수영, 시선, 시신, 시작, 아래, 아버지, 아파트, 압도, 어머니, 여행, 영혼, 외출, 유지, 유진, 의사, 이모, 이번, 이야기, 이후, 인간, 자리, 자신, 자유, 작가, 작품, 장편소설, 전개, 전화, 정신, 정유정, 정의, 정체, 청년, 초대, 탄생, 폭발"
우리가 빛의 속도로 갈 수 없다면,"과학, 그럼에도, 대상, 동시, 등단, 모순, 문학, 문학상, 발표, 분위기, 불구하고, 상상, 상상력, 세계, 소설, 소설가, 소설집, 속도, 수록, 시작, 이야기, 작가, 작품, 저자, 정상, 주류, 질문, 차별, 초엽, 특유, 편의, 한국, 혐오, 활동"
페인트,"가족, 개국, 공감, 공동체, 관계, 국가, 국내, 대만, 독자, 마음, 면접, 문학상, 미래, 반년, 베스트셀러, 보편, 부모, 사랑, 사회, 선택, 세계, 세대, 센터, 수상작, 수출, 아시아, 아이, 양장, 양장본, 연령, 올해, 의미, 이야기, 인지, 작가, 작품, 장편소설, 중국, 질문, 창비, 청소년, 출간, 판매, 페인트, 풍경"
